# stars45degtime,stars45degm1,stars45degm2,stars45degm3,stars45degm4,stars90degtime,stars90degm1,stars90degm2,stars90degm3,stars90degm4,stars0degtime,stars0degm1,stars0degm2,stars0degm3,stars0degm4,stars0deg_retrotime,stars0deg_retrom1,stars0deg_retrom2,stars0deg_retrom3,stars0deg_retrom4
   0.62500,    0.27128,    0.12334,    0.05649,    0.05867,    0.62500,    0.46757,    0.18021,    0.15604,    0.15149,    0.62500,    0.34975,    0.10304,    0.09771,    0.09966,    0.62500,    0.24574,    0.20820,    0.13674,    0.12184
   0.65000,    0.24470,    0.11676,    0.06837,    0.05126,    0.65000,    0.49859,    0.21378,    0.19552,    0.14108,    0.65000,    0.35154,    0.09359,    0.08272,    0.08449,    0.65000,    0.20396,    0.19535,    0.11554,    0.13938
   0.67500,    0.23072,    0.10713,    0.07188,    0.06214,    0.67500,    0.48443,    0.22037,    0.17931,    0.12120,    0.67500,    0.34387,    0.12440,    0.13168,    0.10104,    0.67500,    0.17150,    0.16060,    0.10163,    0.10490
   0.70000,    0.23442,    0.07296,    0.08247,    0.06731,    0.70000,    0.41230,    0.13722,    0.12433,    0.09796,    0.70000,    0.29004,    0.09361,    0.12724,    0.08871,    0.70000,    0.15345,    0.14100,    0.10963,    0.08523
   0.72500,    0.27324,    0.10160,    0.09292,    0.05759,    0.72500,    0.39700,    0.11417,    0.14901,    0.13179,    0.72500,    0.28541,    0.10359,    0.13008,    0.09353,    0.72500,    0.09938,    0.15689,    0.08522,    0.09102
   0.75000,    0.28770,    0.11208,    0.11236,    0.06239,    0.75000,    0.40951,    0.15925,    0.20956,    0.18771,    0.75000,    0.22764,    0.12513,    0.13514,    0.07250,    0.75000,    0.09670,    0.18545,    0.05982,    0.08591
   0.77500,    0.29847,    0.13213,    0.12077,    0.04572,    0.77500,    0.43887,    0.20902,    0.23773,    0.19456,    0.77500,    0.16416,    0.12080,    0.09561,    0.05720,    0.77500,    0.07430,    0.22266,    0.05848,    0.10332
   0.80000,    0.25507,    0.10832,    0.11731,    0.06105,    0.80000,    0.41397,    0.21439,    0.21455,    0.17856,    0.80000,    0.10815,    0.15097,    0.07760,    0.03886,    0.80000,    0.07438,    0.24614,    0.04580,    0.09652
   0.82500,    0.22060,    0.09598,    0.07286,    0.04038,    0.82500,    0.29718,    0.20681,    0.14414,    0.11491,    0.82500,    0.05747,    0.16456,    0.04341,    0.04523,    0.82500,    0.10678,    0.23385,    0.03784,    0.09576
   0.85000,    0.18851,    0.08635,    0.09318,    0.05704,    0.85000,    0.19974,    0.21946,    0.10643,    0.07289,    0.85000,    0.05384,    0.12100,    0.05958,    0.04318,    0.85000,    0.15137,    0.19684,    0.08060,    0.06806
   0.87500,    0.18033,    0.08437,    0.10221,    0.06052,    0.87500,    0.16620,    0.24387,    0.12166,    0.10196,    0.87500,    0.08707,    0.10891,    0.06694,    0.03538,    0.87500,    0.18220,    0.19467,    0.10329,    0.05271
   0.90000,    0.16187,    0.04424,    0.05878,    0.06036,    0.90000,    0.14068,    0.23486,    0.10286,    0.09686,    0.90000,    0.15691,    0.11388,    0.08738,    0.06058,    0.90000,    0.18280,    0.19194,    0.15439,    0.06913
   0.92500,    0.17627,    0.04686,    0.04217,    0.03696,    0.92500,    0.16425,    0.23560,    0.12214,    0.06759,    0.92500,    0.20920,    0.12615,    0.11544,    0.08181,    0.92500,    0.17007,    0.17757,    0.14140,    0.06134
   0.95000,    0.25373,    0.10471,    0.09759,    0.06233,    0.95000,    0.23867,    0.25704,    0.12979,    0.08358,    0.95000,    0.22556,    0.14869,    0.11126,    0.05588,    0.95000,    0.17385,    0.17001,    0.09114,    0.08000
   0.97500,    0.30035,    0.13038,    0.10573,    0.08253,    0.97500,    0.30109,    0.25418,    0.12246,    0.12545,    0.97500,    0.22577,    0.15755,    0.11706,    0.07726,    0.97500,    0.24298,    0.21033,    0.11218,    0.10799
   1.00000,    0.26551,    0.09784,    0.10513,    0.07344,    1.00000,    0.37056,    0.27165,    0.15021,    0.12905,    1.00000,    0.21585,    0.14659,    0.10299,    0.11710,    1.00000,    0.25705,    0.23716,    0.13292,    0.12143
   1.02500,    0.21139,    0.10422,    0.09924,    0.05341,    1.02500,    0.37994,    0.28276,    0.17571,    0.11482,    1.02500,    0.21392,    0.14966,    0.07860,    0.09396,    1.02500,    0.17344,    0.22396,    0.08303,    0.09350
   1.05000,    0.20680,    0.12745,    0.07711,    0.03768,    1.05000,    0.36361,    0.23224,    0.17490,    0.12321,    1.05000,    0.22507,    0.16139,    0.11432,    0.03703,    1.05000,    0.12438,    0.16623,    0.05984,    0.07833
   1.07500,    0.26847,    0.14170,    0.08789,    0.07250,    1.07500,    0.33997,    0.17029,    0.15666,    0.14523,    1.07500,    0.23912,    0.15541,    0.13338,    0.05519,    1.07500,    0.09682,    0.13058,    0.05053,    0.06884
   1.10000,    0.31048,    0.18531,    0.11721,    0.10567,    1.10000,    0.30842,    0.11242,    0.10889,    0.10501,    1.10000,    0.22538,    0.18576,    0.12355,    0.07670,    1.10000,    0.04213,    0.11101,    0.07696,    0.07192
   1.12500,    0.30576,    0.21459,    0.13202,    0.10356,    1.12500,    0.30377,    0.07799,    0.09033,    0.08614,    1.12500,    0.20369,    0.20304,    0.11335,    0.05627,    1.12500,    0.06537,    0.10784,    0.08795,    0.04839
   1.15000,    0.25261,    0.21325,    0.14544,    0.08453,    1.15000,    0.28027,    0.09650,    0.12391,    0.10568,    1.15000,    0.17248,    0.21069,    0.08728,    0.09158,    1.15000,    0.06419,    0.10187,    0.06939,    0.07872
   1.17500,    0.20025,    0.19183,    0.11035,    0.06075,    1.17500,    0.23313,    0.12064,    0.13769,    0.10310,    1.17500,    0.11390,    0.19694,    0.05307,    0.05585,    1.17500,    0.09678,    0.10023,    0.04866,    0.06590
   1.20000,    0.17175,    0.20301,    0.04663,    0.08833,    1.20000,    0.22079,    0.13930,    0.15445,    0.07108,    1.20000,    0.08132,    0.18396,    0.08240,    0.05572,    1.20000,    0.09826,    0.09314,    0.06779,    0.03814
   1.22500,    0.14145,    0.21079,    0.06324,    0.08085,    1.22500,    0.22114,    0.14459,    0.13970,    0.06642,    1.22500,    0.05796,    0.17180,    0.07350,    0.06171,    1.22500,    0.07901,    0.11293,    0.11015,    0.03634
   1.25000,    0.10163,    0.18236,    0.09443,    0.05375,    1.25000,    0.16481,    0.13497,    0.12451,    0.03252,    1.25000,    0.03376,    0.17400,    0.07311,    0.03319,    1.25000,    0.09549,    0.14054,    0.09074,    0.04521
   1.27500,    0.04386,    0.13930,    0.07064,    0.04828,    1.27500,    0.12973,    0.12566,    0.12594,    0.06098,    1.27500,    0.06771,    0.15345,    0.09202,    0.02891,    1.27500,    0.10980,    0.11599,    0.06308,    0.05885
   1.30000,    0.07968,    0.12870,    0.06440,    0.04197,    1.30000,    0.12157,    0.14078,    0.10020,    0.05791,    1.30000,    0.08281,    0.10761,    0.09628,    0.05255,    1.30000,    0.11838,    0.09353,    0.07036,    0.05237
   1.32500,    0.12002,    0.13071,    0.04774,    0.03367,    1.32500,    0.13078,    0.18683,    0.09118,    0.05917,    1.32500,    0.11711,    0.07789,    0.06636,    0.06118,    1.32500,    0.12887,    0.08715,    0.09436,    0.04229
   1.35000,    0.12620,    0.11127,    0.05855,    0.03388,    1.35000,    0.14240,    0.22707,    0.09870,    0.06576,    1.35000,    0.13045,    0.06705,    0.07006,    0.06365,    1.35000,    0.15785,    0.13241,    0.09065,    0.08079
