# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   1.05000,    0.01797,    0.52686,    1.05000,    0.08450,    1.05715,    1.05000,    0.01029,    0.57127,    1.05000,    0.02143,    0.35887
   1.07500,    0.06622,    0.56034,    1.07500,    0.03012,    1.02127,    1.07500,    0.04906,    0.53629,    1.07500,    0.02964,    0.33407
   1.10000,    0.05080,    0.48635,    1.10000,    0.03747,    0.92246,    1.10000,    0.07909,    0.57164,    1.10000,    0.04024,    0.30192
   1.12500,    0.07246,    0.45766,    1.12500,    0.01156,    0.88653,    1.12500,    0.09525,    0.53370,    1.12500,    0.03341,    0.18801
   1.15000,    0.02946,    0.50284,    1.15000,    0.03493,    0.81656,    1.15000,    0.03014,    0.41020,    1.15000,    0.03484,    0.08313
   1.17500,    0.06286,    0.44164,    1.17500,    0.03330,    0.72443,    1.17500,    0.00840,    0.32452,    1.17500,    0.00498,    0.03146
   1.20000,    0.05805,    0.36211,    1.20000,    0.04230,    0.61399,    1.20000,    0.00823,    0.25294,    1.20000,    0.04680,    0.06149
   1.22500,    0.05681,    0.30393,    1.22500,    0.02797,    0.41823,    1.22500,    0.01058,    0.21147,    1.22500,    0.02346,    0.15182
   1.25000,    0.06569,    0.33713,    1.25000,    0.00628,    0.33533,    1.25000,    0.07431,    0.18150,    1.25000,    0.04831,    0.20386
   1.27500,    0.00697,    0.29569,    1.27500,    0.05359,    0.38973,    1.27500,    0.00741,    0.17574,    1.27500,    0.04066,    0.30060
   1.30000,    0.04991,    0.20913,    1.30000,    0.03839,    0.40571,    1.30000,    0.02909,    0.21118,    1.30000,    0.02865,    0.40550
   1.32500,    0.05020,    0.07719,    1.32500,    0.00705,    0.44771,    1.32500,    0.01953,    0.27381,    1.32500,    0.05432,    0.47969
   1.35000,    0.04797,    0.05561,    1.35000,    0.00614,    0.50154,    1.35000,    0.02802,    0.28129,    1.35000,    0.07224,    0.42105
   1.37500,    0.04806,    0.13536,    1.37500,    0.01259,    0.52172,    1.37500,    0.03148,    0.23380,    1.37500,    0.01502,    0.40581
   1.40000,    0.02879,    0.24596,    1.40000,    0.02272,    0.51275,    1.40000,    0.03183,    0.27571,    1.40000,    0.06575,    0.39731
   1.42500,    0.05380,    0.34689,    1.42500,    0.07344,    0.55208,    1.42500,    0.02308,    0.31214,    1.42500,    0.01554,    0.32827
   1.45000,    0.06257,    0.41236,    1.45000,    0.02560,    0.58687,    1.45000,    0.04308,    0.32707,    1.45000,    0.05700,    0.21974
   1.47500,    0.05801,    0.41517,    1.47500,    0.03140,    0.51391,    1.47500,    0.01014,    0.29231,    1.47500,    0.01263,    0.05393
   1.50000,    0.08587,    0.41793,    1.50000,    0.00983,    0.40862,    1.50000,    0.04231,    0.21332,    1.50000,    0.01662,    0.07380
   1.52500,    0.01761,    0.34089,    1.52500,    0.00432,    0.39861,    1.52500,    0.02145,    0.11143,    1.52500,    0.00526,    0.07088
   1.55000,    0.04325,    0.21997,    1.55000,    0.01855,    0.41960,    1.55000,    0.02522,    0.03494,    1.55000,    0.03809,    0.06039
   1.57500,    0.08174,    0.15015,    1.57500,    0.04790,    0.38633,    1.57500,    0.01582,    0.06930,    1.57500,    0.00227,    0.11365
   1.60000,    0.02708,    0.21310,    1.60000,    0.02626,    0.38330,    1.60000,    0.01925,    0.08274,    1.60000,    0.01220,    0.17293
   1.62500,    0.03315,    0.19371,    1.62500,    0.00394,    0.41911,    1.62500,    0.02334,    0.12462,    1.62500,    0.02224,    0.23228
   1.65000,    0.06001,    0.18343,    1.65000,    0.02158,    0.46756,    1.65000,    0.01448,    0.12873,    1.65000,    0.00471,    0.18368
   1.67500,    0.00917,    0.15886,    1.67500,    0.00815,    0.46848,    1.67500,    0.02853,    0.11864,    1.67500,    0.01192,    0.21793
   1.70000,    0.03518,    0.14434,    1.70000,    0.02346,    0.43707,    1.70000,    0.01362,    0.08662,    1.70000,    0.00812,    0.27758
   1.72500,    0.05445,    0.12115,    1.72500,    0.02102,    0.41584,    1.72500,    0.03242,    0.10416,    1.72500,    0.04917,    0.32282
