# stars45degtime,stars45degm1,stars45degm2,stars45degm3,stars45degm4,stars90degtime,stars90degm1,stars90degm2,stars90degm3,stars90degm4,stars0degtime,stars0degm1,stars0degm2,stars0degm3,stars0degm4,stars0deg_retrotime,stars0deg_retrom1,stars0deg_retrom2,stars0deg_retrom3,stars0deg_retrom4
   0.62500,    0.29294,    0.12144,    0.08460,    0.05361,    0.62500,    0.35584,    0.19226,    0.14125,    0.13599,    0.62500,    0.28724,    0.24524,    0.13115,    0.08756,    0.62500,    0.27043,    0.19981,    0.24597,    0.08347
   0.65000,    0.18864,    0.15109,    0.08100,    0.03773,    0.65000,    0.39951,    0.24317,    0.18430,    0.16523,    0.65000,    0.26883,    0.24488,    0.12228,    0.07810,    0.65000,    0.23080,    0.16497,    0.18746,    0.07642
   0.67500,    0.11638,    0.17637,    0.07391,    0.03383,    0.67500,    0.45409,    0.27234,    0.22163,    0.18215,    0.67500,    0.19779,    0.21295,    0.10013,    0.07534,    0.67500,    0.17333,    0.12637,    0.12324,    0.06423
   0.70000,    0.09326,    0.18871,    0.05903,    0.03245,    0.70000,    0.50201,    0.26124,    0.20053,    0.15816,    0.70000,    0.13034,    0.19667,    0.10399,    0.05495,    0.70000,    0.14837,    0.09522,    0.08501,    0.05672
   0.72500,    0.13284,    0.16726,    0.05509,    0.03147,    0.72500,    0.52710,    0.26077,    0.14563,    0.08806,    0.72500,    0.10528,    0.19824,    0.13021,    0.02955,    0.72500,    0.09898,    0.08219,    0.08492,    0.05583
   0.75000,    0.17354,    0.15900,    0.07082,    0.02470,    0.75000,    0.53497,    0.30698,    0.21668,    0.18617,    0.75000,    0.12855,    0.20396,    0.13305,    0.05009,    0.75000,    0.07396,    0.09598,    0.08530,    0.05251
   0.77500,    0.19866,    0.16992,    0.07801,    0.04836,    0.77500,    0.53577,    0.36672,    0.29841,    0.27677,    0.77500,    0.12898,    0.18972,    0.10160,    0.05391,    0.77500,    0.12970,    0.09526,    0.07545,    0.05454
   0.80000,    0.21176,    0.17189,    0.05633,    0.08348,    0.80000,    0.50953,    0.36830,    0.28601,    0.27866,    0.80000,    0.13075,    0.13838,    0.05397,    0.05811,    0.80000,    0.15763,    0.10398,    0.06328,    0.04333
   0.82500,    0.21858,    0.15867,    0.04910,    0.08582,    0.82500,    0.45120,    0.32757,    0.19148,    0.22353,    0.82500,    0.13191,    0.09030,    0.03936,    0.05732,    0.82500,    0.15149,    0.11768,    0.06171,    0.04421
   0.85000,    0.19897,    0.15114,    0.03264,    0.06497,    0.85000,    0.38858,    0.28474,    0.12127,    0.14252,    0.85000,    0.12237,    0.10940,    0.04448,    0.04589,    0.85000,    0.10743,    0.14844,    0.04894,    0.02925
   0.87500,    0.15728,    0.15899,    0.02360,    0.05787,    0.87500,    0.33375,    0.20778,    0.13124,    0.05439,    0.87500,    0.12527,    0.14766,    0.04151,    0.04110,    0.87500,    0.09485,    0.16099,    0.05609,    0.02655
   0.90000,    0.10338,    0.17581,    0.05852,    0.06202,    0.90000,    0.29031,    0.12790,    0.09609,    0.06296,    0.90000,    0.13555,    0.15410,    0.06185,    0.03468,    0.90000,    0.13782,    0.12954,    0.09164,    0.03088
   0.92500,    0.07670,    0.19793,    0.08361,    0.07253,    0.92500,    0.24437,    0.10772,    0.05901,    0.05265,    0.92500,    0.15751,    0.12686,    0.06854,    0.03254,    0.92500,    0.16197,    0.08040,    0.10620,    0.03352
   0.95000,    0.08011,    0.21813,    0.07776,    0.06021,    0.95000,    0.17263,    0.12950,    0.03027,    0.06146,    0.95000,    0.15422,    0.13810,    0.07358,    0.03302,    0.95000,    0.16667,    0.07139,    0.07443,    0.03280
   0.97500,    0.09868,    0.21113,    0.05826,    0.03665,    0.97500,    0.13017,    0.12540,    0.05586,    0.04022,    0.97500,    0.16403,    0.18750,    0.09879,    0.04528,    0.97500,    0.17150,    0.11792,    0.05621,    0.07185
   1.00000,    0.14020,    0.16303,    0.04822,    0.03624,    1.00000,    0.17871,    0.09990,    0.06831,    0.04387,    1.00000,    0.17294,    0.21963,    0.10166,    0.03104,    1.00000,    0.19365,    0.18439,    0.09678,    0.09415
   1.02500,    0.16575,    0.12964,    0.05763,    0.03071,    1.02500,    0.25429,    0.10746,    0.09514,    0.06076,    1.02500,    0.16593,    0.19042,    0.06732,    0.03375,    1.02500,    0.21126,    0.22807,    0.12749,    0.11695
   1.05000,    0.19429,    0.11594,    0.05741,    0.03713,    1.05000,    0.31301,    0.14631,    0.11455,    0.08986,    1.05000,    0.15926,    0.10831,    0.05020,    0.02679,    1.05000,    0.20130,    0.26211,    0.13160,    0.11281
   1.07500,    0.19765,    0.12396,    0.05680,    0.03578,    1.07500,    0.35569,    0.16199,    0.15831,    0.09692,    1.07500,    0.16289,    0.09405,    0.04469,    0.02504,    1.07500,    0.15999,    0.26368,    0.12437,    0.07817
   1.10000,    0.19276,    0.13881,    0.06358,    0.04065,    1.10000,    0.38056,    0.15721,    0.17891,    0.09528,    1.10000,    0.17104,    0.13227,    0.03675,    0.04495,    1.10000,    0.10901,    0.22273,    0.09823,    0.05067
   1.12500,    0.18988,    0.12026,    0.05413,    0.04132,    1.12500,    0.38106,    0.14993,    0.16754,    0.07425,    1.12500,    0.16292,    0.16848,    0.04027,    0.04525,    1.12500,    0.07635,    0.18667,    0.07454,    0.05010
   1.15000,    0.18768,    0.10062,    0.04705,    0.05100,    1.15000,    0.38061,    0.14964,    0.14521,    0.05381,    1.15000,    0.14933,    0.19973,    0.05490,    0.03076,    1.15000,    0.05410,    0.16871,    0.04547,    0.04839
   1.17500,    0.17230,    0.13211,    0.05325,    0.04422,    1.17500,    0.41743,    0.24008,    0.19460,    0.07336,    1.17500,    0.11859,    0.22950,    0.05526,    0.03329,    1.17500,    0.05604,    0.13812,    0.03695,    0.04297
   1.20000,    0.17924,    0.18836,    0.08071,    0.06343,    1.20000,    0.44381,    0.33020,    0.22834,    0.10168,    1.20000,    0.06444,    0.25576,    0.04497,    0.05424,    1.20000,    0.06721,    0.10413,    0.04669,    0.04261
   1.22500,    0.17579,    0.23227,    0.10837,    0.06797,    1.22500,    0.42728,    0.37340,    0.22432,    0.12462,    1.22500,    0.02624,    0.26732,    0.03848,    0.07693,    1.22500,    0.07955,    0.07876,    0.03492,    0.04628
   1.25000,    0.13570,    0.23658,    0.12840,    0.05546,    1.25000,    0.36152,    0.35471,    0.19173,    0.12602,    1.25000,    0.04676,    0.25823,    0.05006,    0.08270,    1.25000,    0.11767,    0.07955,    0.03937,    0.04838
   1.27500,    0.11436,    0.22889,    0.12420,    0.05800,    1.27500,    0.26944,    0.29301,    0.17144,    0.10738,    1.27500,    0.05401,    0.23423,    0.06193,    0.09345,    1.27500,    0.14618,    0.10815,    0.05257,    0.03381
   1.30000,    0.12830,    0.22809,    0.10270,    0.05648,    1.30000,    0.18776,    0.19616,    0.15420,    0.07755,    1.30000,    0.04578,    0.20912,    0.07855,    0.09750,    1.30000,    0.14822,    0.13869,    0.04543,    0.02548
   1.32500,    0.09888,    0.23871,    0.07810,    0.06077,    1.32500,    0.12365,    0.11865,    0.10011,    0.07198,    1.32500,    0.06069,    0.19988,    0.09327,    0.09982,    1.32500,    0.15134,    0.13332,    0.03832,    0.02762
   1.35000,    0.04830,    0.26738,    0.05381,    0.08552,    1.35000,    0.09651,    0.09567,    0.04789,    0.06189,    1.35000,    0.08721,    0.19291,    0.09904,    0.09580,    1.35000,    0.15568,    0.12149,    0.03978,    0.02802
   1.37500,    0.05820,    0.27220,    0.05286,    0.10918,    1.37500,    0.09828,    0.08363,    0.06135,    0.05616,    1.37500,    0.11431,    0.18239,    0.08004,    0.07643,    1.37500,    0.15679,    0.14643,    0.05240,    0.04007
   1.40000,    0.06330,    0.26384,    0.03793,    0.11160,    1.40000,    0.05923,    0.09716,    0.08033,    0.03960,    1.40000,    0.11939,    0.14806,    0.05897,    0.05719,    1.40000,    0.14458,    0.15091,    0.05635,    0.05518
   1.42500,    0.06643,    0.26313,    0.05915,    0.10695,    1.42500,    0.07686,    0.09220,    0.06028,    0.02926,    1.42500,    0.10913,    0.10672,    0.05743,    0.03722,    1.42500,    0.11777,    0.12437,    0.07261,    0.06351
   1.45000,    0.09068,    0.27406,    0.05031,    0.09694,    1.45000,    0.11380,    0.08419,    0.04044,    0.02891,    1.45000,    0.11983,    0.06146,    0.05824,    0.02327,    1.45000,    0.09100,    0.10981,    0.08451,    0.06497
   1.47500,    0.11821,    0.26353,    0.04445,    0.10880,    1.47500,    0.13261,    0.10844,    0.03826,    0.04068,    1.47500,    0.16021,    0.03371,    0.06837,    0.01896,    1.47500,    0.09304,    0.12097,    0.07269,    0.05730
   1.50000,    0.12177,    0.22783,    0.04543,    0.10816,    1.50000,    0.14665,    0.13682,    0.09030,    0.03544,    1.50000,    0.17656,    0.04221,    0.08161,    0.02214,    1.50000,    0.08571,    0.13253,    0.07130,    0.03767
   1.52500,    0.13726,    0.18373,    0.06017,    0.08718,    1.52500,    0.14446,    0.13891,    0.13604,    0.03941,    1.52500,    0.15722,    0.08888,    0.08137,    0.02919,    1.52500,    0.09293,    0.16241,    0.06774,    0.02559
   1.55000,    0.13702,    0.13062,    0.06783,    0.06900,    1.55000,    0.13407,    0.12842,    0.16642,    0.03625,    1.55000,    0.10288,    0.13310,    0.05974,    0.02620,    1.55000,    0.10082,    0.19227,    0.06690,    0.03409
   1.57500,    0.10597,    0.09971,    0.08391,    0.04909,    1.57500,    0.14959,    0.17077,    0.17688,    0.04172,    1.57500,    0.06836,    0.15625,    0.05521,    0.02943,    1.57500,    0.09697,    0.20492,    0.07419,    0.03742
   1.60000,    0.06470,    0.09736,    0.10522,    0.03718,    1.60000,    0.20900,    0.22137,    0.16359,    0.04566,    1.60000,    0.04976,    0.16402,    0.06110,    0.03313,    1.60000,    0.07865,    0.21419,    0.07913,    0.04884
   1.62500,    0.04714,    0.09421,    0.09868,    0.04663,    1.62500,    0.24720,    0.27358,    0.13902,    0.04463,    1.62500,    0.05716,    0.18233,    0.05703,    0.03652,    1.62500,    0.06510,    0.22368,    0.06797,    0.05835
   1.65000,    0.03616,    0.09372,    0.07299,    0.05793,    1.65000,    0.23225,    0.30311,    0.13233,    0.07585,    1.65000,    0.06585,    0.18612,    0.04715,    0.04713,    1.65000,    0.05275,    0.21083,    0.05536,    0.06822
   1.67500,    0.03252,    0.10580,    0.05449,    0.04591,    1.67500,    0.17452,    0.28834,    0.11447,    0.09497,    1.67500,    0.07413,    0.17728,    0.04287,    0.05407,    1.67500,    0.05207,    0.18094,    0.05564,    0.06590
   1.70000,    0.03877,    0.12891,    0.04647,    0.03068,    1.70000,    0.12237,    0.26209,    0.09352,    0.08361,    1.70000,    0.09596,    0.18515,    0.06396,    0.05468,    1.70000,    0.05377,    0.14654,    0.07028,    0.05113
   1.72500,    0.05003,    0.13095,    0.03824,    0.03528,    1.72500,    0.11747,    0.22709,    0.06800,    0.06676,    1.72500,    0.09357,    0.19934,    0.07143,    0.04959,    1.72500,    0.04981,    0.13648,    0.07987,    0.04278
   1.75000,    0.03466,    0.13497,    0.04689,    0.03369,    1.75000,    0.08480,    0.20232,    0.04978,    0.07131,    1.75000,    0.09384,    0.21804,    0.07185,    0.04986,    1.75000,    0.06107,    0.14922,    0.07776,    0.04650
   1.77500,    0.07247,    0.15002,    0.05947,    0.04160,    1.77500,    0.04077,    0.17943,    0.05932,    0.06594,    1.77500,    0.08817,    0.22494,    0.04791,    0.05896,    1.77500,    0.08534,    0.17856,    0.06960,    0.06882
