TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
94,8710291,1.07918e-05,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
64,8123650,7.87823e-06,Indianapolis International,IND,39.7182627500000,-86.2912088268419
455,31832392,1.42936e-05,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
15,11166835,1.34326e-06,Kansas City International,MCI,39.3022005500000,-94.7208982134181
307,23078228,1.33026e-05,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
92,9388253,9.79948e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
857,47799090,1.79292e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
358,23698105,1.51067e-05,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
225,20889413,1.0771e-05,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
518,90039280,5.75304e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
330,51245334,6.43961e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
63,9039075,6.96974e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6681713948011
483,34063531,1.41794e-05,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
516,69353480,7.44015e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
500,44074707,1.13444e-05,McCarran International,LAS,36.0860828000000,-115.1478460211850
110,20824098,5.28234e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
92,14405111,6.38662e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
164,14299075,1.14693e-05,Portland International,PDX,45.5871326000000,-122.5927797493920
99,8989603,1.10127e-05,John Wayne,SNA,33.6742056000000,-117.8680147077050
592,35659551,1.66014e-05,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
118,18019495,6.54846e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
311,22621500,1.3748e-05,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
205,34051280,6.02033e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
151,11474260,1.31599e-05,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
369,57080333,6.46457e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
109,9720186,1.12138e-05,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
285,18262863,1.56054e-05,Tampa International,TPA,27.9801058000000,-82.5346605000000
108,9971312,1.08311e-05,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
84,8339907,1.00721e-05,San Antonio International,SAT,29.5334021000000,-98.4692143304692
86,9715926,8.85145e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
63,8774686,7.17974e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
323,18125701,1.782e-05,San Diego International,SAN,32.7333607500000,-117.1934633660770
463,39891193,1.16066e-05,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
66,37255490,1.77155e-06,San Francisco International,SFO,37.6224520000000,-122.3840715078140
256,26102391,9.80753e-06,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
76,11104469,6.84409e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
39,8060792,4.83823e-06,Dallas Love Field,DAL,32.8452405500000,-96.8473217756907
445,32187941,1.38251e-05,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080657736810
166,34786389,4.77198e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
68,13630443,4.98883e-06,Cincinnati/Northern Kentucky International,CVG,39.0503326000000,-84.6651260159433
204,35144841,5.80455e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
122,17345535,7.03351e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
253,41701953,6.06686e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
651,59716459,1.09015e-05,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
603,35336733,1.70644e-05,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
74,10532141,7.02611e-06,Memphis International Airport,MEM,35.0462564500000,-89.9768945651318
