TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
61,7884170,7.73702e-06,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
212,30504112,6.94988e-06,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
 4,9872314,4.05173e-07,Kansas City International,MCI,39.3022005500000,-94.7208982134181
170,26722183,6.36176e-06,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
51,10351709,4.92672e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
694,50423765,1.37634e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
216,21796326,9.90993e-06,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
270,30235850,8.9298e-06,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
151,22498353,6.7116e-06,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
331,94431224,3.5052e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
209,52556359,3.97668e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
79,10017958,7.88584e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6681713948011
399,40562948,9.83656e-06,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
282,66777161,4.223e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
241,40933037,5.88766e-06,McCarran International,LAS,36.0860828000000,-115.1478460211850
79,20186474,3.91351e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
70,7637801,9.16494e-06,Southwest Florida International,RSW,26.5329497500000,-81.7588055261221
58,12570128,4.61411e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
107,15029569,7.1193e-06,Portland International,PDX,45.5871326000000,-122.5927797493920
68,9232789,7.36506e-06,John Wayne,SNA,33.6742056000000,-117.8680147077050
357,34768945,1.02678e-05,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
82,20392671,4.02105e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
199,23559779,8.4466e-06,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
95,33892074,2.80302e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
85,9344806,9.09596e-06,New Orleans International,MSY,30.0091430000000,-90.2348479000000
79,9742887,8.10848e-06,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
220,60470507,3.63814e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
53,8783319,6.03417e-06,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
148,16920086,8.747e-06,Tampa International,TPA,27.9801058000000,-82.5346605000000
54,8685368,6.21735e-06,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
66,8252330,7.99774e-06,San Antonio International,SAT,29.5334021000000,-98.4692143304692
50,9197760,5.43611e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
54,11109449,4.86073e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
141,17710241,7.9615e-06,San Diego International,SAN,32.7333607500000,-117.1934633660770
219,40341614,5.42864e-06,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
145,19776751,7.33184e-06,Honolulu International Airport,HNL,21.3217144000000,-157.9184066663830
23,44945760,5.11728e-07,San Francisco International,SFO,37.6224520000000,-122.3840715078140
31,8470586,3.65972e-06,Dallas Love Field,DAL,32.8452405500000,-96.8473217756907
30,9072126,3.30683e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
260,34826741,7.46553e-06,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080657736810
125,43457471,2.87638e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
57,32389544,1.75983e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
63,20362601,3.09391e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
205,39799414,5.15083e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
469,66667619,7.0349e-06,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
350,35016236,9.99536e-06,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
