TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
28,7998970,3.50045e-06,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
174,30740180,5.66034e-06,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
 3,10166881,2.95076e-07,Kansas City International,MCI,39.3022005500000,-94.7208982134181
118,26954588,4.37773e-06,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
41,11039634,3.71389e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
644,53254533,1.20929e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
209,21420385,9.75706e-06,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
241,31658351,7.61253e-06,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
129,22312676,5.78147e-06,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
302,96178899,3.13998e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
164,53472514,3.067e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
79,10718854,7.37019e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6681713948011
340,40941879,8.30446e-06,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
248,69999010,3.54291e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
215,42869517,5.01522e-06,McCarran International,LAS,36.0860828000000,-115.1478460211850
77,21141610,3.64211e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
70,7970493,8.78239e-06,Southwest Florida International,RSW,26.5329497500000,-81.7588055261221
61,12384015,4.9257e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
58,9386033,6.17939e-06,John Wayne,SNA,33.6742056000000,-117.8680147077050
356,35714091,9.96805e-06,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
89,15916512,5.59168e-06,Portland International,PDX,45.5871326000000,-122.5927797493920
182,41239700,4.41322e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
101,35147083,2.87364e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
74,9942767,7.4426e-06,New Orleans International,MSY,30.0091430000000,-90.2348479000000
82,10336788,7.93283e-06,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
194,63554402,3.0525e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
42,9385212,4.47513e-06,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
112,17552707,6.38078e-06,Tampa International,TPA,27.9801058000000,-82.5346605000000
52,8972756,5.79532e-06,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
63,8369628,7.52722e-06,San Antonio International,SAT,29.5334021000000,-98.4692143304692
51,9463598,5.38907e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
51,11945825,4.26927e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
91,20784384,4.37829e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
135,18758751,7.19664e-06,San Diego International,SAN,32.7333607500000,-117.1934633660770
214,42134662,5.07895e-06,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
138,19972910,6.90936e-06,Honolulu International Airport,HNL,21.3217144000000,-157.9184066663830
29,47114631,6.1552e-07,San Francisco International,SFO,37.6224520000000,-122.3840715078140
34,9413636,3.61178e-06,Dallas Love Field,DAL,32.8452405500000,-96.8473217756907
214,37498267,5.70693e-06,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080657736810
120,44279504,2.71006e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
74,32513555,2.27597e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
84,21069564,3.98679e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
210,24648306,8.51986e-06,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
454,70663265,6.42484e-06,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
341,35610759,9.57576e-06,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
