TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
42,8128187,5.1672e-06,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
169,31444403,5.37457e-06,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
11,10472461,1.05037e-06,Kansas City International,MCI,39.3022005500000,-94.7208982134181
128,28437668,4.50107e-06,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
58,11673633,4.96846e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
523,56827154,9.20335e-06,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
169,21498902,7.86087e-06,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
218,33515905,6.50437e-06,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
118,23823532,4.95309e-06,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
362,101491106,3.56682e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
181,54014502,3.35095e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
60,11897959,5.04288e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6681713948011
306,44350247,6.89962e-06,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
261,76949504,3.39183e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
256,45443900,5.63332e-06,McCarran International,LAS,36.0860828000000,-115.1478460211850
72,22152498,3.2502e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
54,8371801,6.45022e-06,Southwest Florida International,RSW,26.5329497500000,-81.7588055261221
51,12752331,3.99927e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
58,10180258,5.6973e-06,John Wayne,SNA,33.6742056000000,-117.8680147077050
372,38727749,9.60552e-06,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
79,16850952,4.68816e-06,Portland International,PDX,45.5871326000000,-122.5927797493920
163,43023224,3.78865e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
88,36582854,2.4055e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
74,10868827,6.80846e-06,New Orleans International,MSY,30.0091430000000,-90.2348479000000
82,11205063,7.31812e-06,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
185,64074762,2.88725e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
40,9799427,4.08187e-06,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
98,18815425,5.20849e-06,Tampa International,TPA,27.9801058000000,-82.5346605000000
59,9609880,6.13951e-06,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
37,8507459,4.34912e-06,San Antonio International,SAT,29.5334021000000,-98.4692143304692
63,9943331,6.3359e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
63,12163344,5.1795e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
93,23012191,4.04134e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
126,20081258,6.27451e-06,San Diego International,SAN,32.7333607500000,-117.1934633660770
245,44003840,5.5677e-06,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
122,19869707,6.14e-06,Honolulu International Airport,HNL,21.3217144000000,-157.9184066663830
32,50057887,6.3926e-07,San Francisco International,SFO,37.6224520000000,-122.3840715078140
67,14497498,4.62149e-06,Dallas Love Field,DAL,32.8452405500000,-96.8473217756907
63,8117899,7.76063e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
244,42340537,5.7628e-06,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080657736810
108,44876627,2.4066e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
69,33440112,2.06339e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
68,22221499,3.0601e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
167,26941671,6.19858e-06,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
495,74937004,6.60555e-06,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
312,37494704,8.32118e-06,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
