Date,Quarter,Rate
2015/01,1,2.33
2015/04,2,3.43
2015/07,3,3.05
2015/10,4,2.39
2014/01,1,2.25
2014/04,2,3.46
2014/07,3,2.83
2014/10,4,2.39
2013/01,1,1.88
2013/04,2,2.73
2013/07,3,2.70
2013/10,4,2.05
2012/01,1,2.00
2012/04,2,3.21
2012/07,3,2.44
2012/10,4,2.07
2011/01,1,2.85
2011/04,2,3.54
2011/07,3,2.57
2011/10,4,2.16
2010/01,1,3.73
2010/04,2,4.72
2010/07,3,3.70
2010/10,4,2.94
2009/01,1,3.23
2009/04,2,4.40
2009/07,3,4.55
2009/10,4,3.74
