TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
135,19291412,6.99793e-06,Honolulu International Airport,HNL,21.3217144000000,-157.9184066663830
52,9220391,5.63967e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
670,49291765,1.35925e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
51,10437647,4.88616e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
176,25707784,6.84618e-06,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
132,41228372,3.20168e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
148,17250265,8.57958e-06,San Diego International,SAN,32.7333607500000,-117.1934633660770
362,39467444,9.17212e-06,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
263,40799830,6.44611e-06,McCarran International,LAS,36.0860828000000,-115.1478460211850
59,9834627,5.99921e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
72,10040864,7.1707e-06,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
247,33223111,7.43458e-06,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080157569520
208,22408105,9.28236e-06,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
51,9430314,5.40809e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6667444643939
60,8041357,7.46143e-06,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
37,7515070,4.92344e-06,General Mitchell International Airport,MKE,42.9445798500000,-87.8973795324673
166,22679887,7.31926e-06,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
109,14390784,7.57429e-06,Portland International,PDX,45.5871326000000,-122.5927797493920
363,29349759,1.23681e-05,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
86,19408167,4.43112e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
83,32241731,2.5743e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
35,9004983,3.88674e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
192,53156278,3.61199e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
299,66633503,4.48723e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
31,44399885,6.982e-07,San Francisco International,SFO,37.6224520000000,-122.3840715078140
143,16820859,8.50135e-06,Tampa International,TPA,27.9801058000000,-82.5346605000000
223,23569103,9.46154e-06,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
197,40421611,4.87363e-06,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
392,35288887,1.11083e-05,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
 9,10004371,8.99607e-07,Kansas City International,MCI,39.3023103000000,-94.7211898174345
79,20102078,3.92994e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
83,8731757,9.50553e-06,New Orleans International,MSY,30.0091430000000,-90.2348479000000
208,58621369,3.54819e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
195,39891444,4.88827e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
510,63688121,8.00777e-06,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
368,95513828,3.85285e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
328,34014027,9.64308e-06,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
59,8296174,7.11171e-06,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
66,12688726,5.20147e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
75,8857944,8.46698e-06,John Wayne,SNA,33.6742056000000,-117.8680147077050
49,8173927,5.99467e-06,Dallas Love Field,DAL,32.8452405500000,-96.8473217756907
59,8910570,6.62135e-06,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
78,19630213,3.97347e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
42,8243221,5.0951e-06,San Antonio International,SAT,29.5334021000000,-98.4692143304692
108,33170960,3.25586e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
221,30252816,7.30511e-06,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
