TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
195,20067871,9.71702e-06,Honolulu International Airport,HNL,21.3217144000000,-157.9184066663830
104,9422112,1.10379e-05,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
602,43762282,1.37561e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
76,8549289,8.88963e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
349,26571146,1.31345e-05,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
480,41436737,1.15839e-05,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
315,17481942,1.80186e-05,San Diego International,SAN,32.7333607500000,-117.1934633660770
497,46193329,1.07591e-05,McCarran International,LAS,36.0860828000000,-115.1478460211850
107,9663386,1.10727e-05,Nashville International,BNA,36.1195898500000,-86.6830869329184
162,14692875,1.10258e-05,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
88,11321050,7.77313e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
397,22813067,1.74023e-05,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
103,8261310,1.24678e-05,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6667444643939
110,9987310,1.1014e-05,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
222,21184208,1.04795e-05,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
97,16244962,5.97108e-06,Cincinnati/Northern Kentucky International,CVG,39.0503326000000,-84.6651260159433
179,14043489,1.27461e-05,Portland International,PDX,45.5871326000000,-122.5927797493920
577,32533974,1.77353e-05,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
153,18680663,8.19029e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
263,35972673,7.31111e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
501,29979097,1.67116e-05,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080157569520
442,47325016,9.33967e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
700,77028134,9.08759e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
124,33574807,3.69325e-06,San Francisco International,SFO,37.6224520000000,-122.3840715078140
260,18867541,1.37803e-05,Tampa International,TPA,27.9801058000000,-82.5346605000000
346,21369787,1.61911e-05,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
157,29693949,5.28727e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
520,34640451,1.50114e-05,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
36,11237480,3.20357e-06,Kansas City International,MCI,39.3023103000000,-94.7211898174345
86,8085394,1.06365e-05,Indianapolis International,IND,39.7182627500000,-86.2912088268419
103,21557656,4.77788e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
450,60226138,7.47184e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
451,42550432,1.05992e-05,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
946,61041066,1.54978e-05,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
525,84846639,6.18763e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
703,36724167,1.91427e-05,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
127,10708065,1.18602e-05,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
96,15205944,6.31332e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
159,9613540,1.65392e-05,John Wayne,SNA,33.6742056000000,-117.8680147077050
128,11176460,1.14526e-05,Memphis International Airport,MEM,35.0462564500000,-89.9768945651318
151,10362800,1.45714e-05,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
340,27725443,1.22631e-05,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
147,18545557,7.92643e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
104,8031405,1.29492e-05,San Antonio International,SAT,29.5334021000000,-98.4692143304692
308,35612133,8.64874e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
413,31768272,1.30004e-05,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
