TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
73,8031175,9.08958e-06,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
343,30669564,1.11837e-05,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
10,10041165,9.959e-07,Kansas City International,MCI,39.3022005500000,-94.7208982134181
237,22142336,1.07035e-05,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
79,8936860,8.83979e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
696,45915069,1.51584e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
301,23073665,1.30452e-05,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
194,20963048,9.25438e-06,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
446,88032086,5.06633e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
310,50167485,6.1793e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
73,8220898,8.87981e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6681713948011
415,33886025,1.22469e-05,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
361,64158343,5.6267e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
386,40469012,9.53816e-06,McCarran International,LAS,36.0860828000000,-115.1478460211850
80,20442178,3.91348e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
93,12796302,7.26772e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
88,8705199,1.01089e-05,John Wayne,SNA,33.6742056000000,-117.8680147077050
483,33693649,1.4335e-05,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
108,12929675,8.35288e-06,Portland International,PDX,45.5871326000000,-122.5927797493920
166,40007354,4.14924e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
167,32378599,5.15773e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
91,9652782,9.42733e-06,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
291,56030457,5.1936e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
110,8321750,1.32184e-05,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
215,16965545,1.26727e-05,Tampa International,TPA,27.9801058000000,-82.5346605000000
90,8914510,1.00959e-05,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
73,7831267,9.32161e-06,San Antonio International,SAT,29.5334021000000,-98.4692143304692
68,8973209,7.57811e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
52,8498441,6.11877e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
117,17568095,6.6598e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
203,16974172,1.19593e-05,San Diego International,SAN,32.7333607500000,-117.1934633660770
293,37824982,7.7462e-06,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
94,18168746,5.17372e-06,Honolulu International Airport,HNL,21.3217144000000,-157.9184066663830
33,37338942,8.83796e-07,San Francisco International,SFO,37.6224520000000,-122.3840715078140
300,25512086,1.17591e-05,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
61,9715604,6.27856e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
376,31227512,1.20407e-05,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080657736810
153,34536666,4.43007e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
44,10622185,4.14227e-06,Cincinnati/Northern Kentucky International,CVG,39.0503326000000,-84.6651260159433
139,31357388,4.43277e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
116,17028761,6.812e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
260,21060144,1.23456e-05,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
536,56520843,9.48323e-06,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
53,7946562,6.66955e-06,General Mitchell International Airport,MKE,42.9445798500000,-87.8973795324673
382,33399207,1.14374e-05,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
52,10264327,5.06609e-06,Memphis International Airport,MEM,35.0462564500000,-89.9768945651318
