TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
155,17947177,8.63646e-06,Honolulu International Airport,HNL,21.3217144000000,-157.9184066663830
61,9161259,6.65847e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
749,47683529,1.57077e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
47,9843302,4.77482e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
156,24122478,6.467e-06,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
138,39043708,3.5345e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
168,16890722,9.94629e-06,San Diego International,SAN,32.7333607500000,-117.1934633660770
288,40560285,7.10054e-06,McCarran International,LAS,36.0860828000000,-115.1478460211850
56,9602169,5.83202e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
71,9266570,7.66195e-06,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
59,9202884,6.41103e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
247,23056291,1.07129e-05,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
47,9080875,5.17571e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6667444643939
53,8300310,6.3853e-06,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
51,9522456,5.35576e-06,General Mitchell International Airport,MKE,42.9445798500000,-87.8973795324673
176,22391785,7.86003e-06,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
100,13675924,7.31212e-06,Portland International,PDX,45.5871326000000,-122.5927797493920
349,38314389,9.10885e-06,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
106,18777126,5.64517e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
121,32406159,3.73386e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
285,32467007,8.77814e-06,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080157569520
249,52849132,4.71152e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
387,66659709,5.80561e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
50,40810141,1.22519e-06,San Francisco International,SFO,37.6224520000000,-122.3840715078140
191,16732051,1.14152e-05,Tampa International,TPA,27.9801058000000,-82.5346605000000
249,23349835,1.06639e-05,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
271,40591948,6.6762e-06,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
419,35426006,1.18275e-05,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
 6,10400854,5.76876e-07,Kansas City International,MCI,39.3023103000000,-94.7211898174345
113,20389474,5.54208e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
81,8546890,9.47713e-06,New Orleans International,MSY,30.0091430000000,-90.2348479000000
248,57744554,4.29478e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
188,40128953,4.6849e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
441,61862052,7.12876e-06,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
365,92389023,3.95069e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
300,33711372,8.89907e-06,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
82,8357384,9.81168e-06,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
46,12526150,3.67232e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
72,8609008,8.36333e-06,John Wayne,SNA,33.6742056000000,-117.8680147077050
47,9070087,5.18187e-06,Memphis International Airport,MEM,35.0462564500000,-89.9768945651318
60,8718817,6.88167e-06,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
303,28907938,1.04816e-05,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
115,18802394,6.11624e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
55,8177824,6.72551e-06,San Antonio International,SAT,29.5334021000000,-98.4692143304692
136,33118499,4.10647e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
239,30839175,7.74988e-06,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
