TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
79,8195359,9.6396e-06,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
253,30775961,8.2207e-06,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
11,10168035,1.08182e-06,Kansas City International,MCI,39.3022005500000,-94.7208982134181
176,23983082,7.33851e-06,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
76,9037456,8.40945e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
726,46514154,1.56082e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
206,23591554,8.73194e-06,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
164,21949902,7.47156e-06,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
404,89331622,4.52247e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
233,52209377,4.4628e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
70,8702365,8.04379e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6681713948011
321,35698025,8.99209e-06,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
337,66774738,5.04682e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
289,39757359,7.26909e-06,McCarran International,LAS,36.0860828000000,-115.1478460211850
112,21016686,5.3291e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
67,12331436,5.43327e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
106,13184843,8.03953e-06,Portland International,PDX,45.5871326000000,-122.5927797493920
93,8663452,1.07348e-05,John Wayne,SNA,33.6742056000000,-117.8680147077050
531,34877899,1.52245e-05,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
82,18105802,4.52893e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
191,40479569,4.71843e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
112,32839441,3.41053e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
67,8203305,8.16744e-06,New Orleans International,MSY,30.0091430000000,-90.2348479000000
107,9857845,1.08543e-05,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
229,56906610,4.02414e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
77,8246064,9.33779e-06,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
177,16645765,1.06333e-05,Tampa International,TPA,27.9801058000000,-82.5346605000000
86,8849711,9.71783e-06,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
38,8034720,4.72947e-06,San Antonio International,SAT,29.5334021000000,-98.4692143304692
53,9101870,5.82298e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
57,9054001,6.29556e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
157,16889622,9.29565e-06,San Diego International,SAN,32.7333607500000,-117.1934633660770
291,38554215,7.54781e-06,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
37,39253999,9.42579e-07,San Francisco International,SFO,37.6224520000000,-122.3840715078140
254,27428962,9.26028e-06,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
40,9492455,4.21387e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
278,31553166,8.81053e-06,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080657736810
110,38254207,2.8755e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
38,7977588,4.76334e-06,Cincinnati/Northern Kentucky International,CVG,39.0503326000000,-84.6651260159433
124,32377064,3.82987e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
107,17566281,6.09122e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
202,22412627,9.01278e-06,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
462,59070127,7.82121e-06,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
49,9848377,4.97544e-06,General Mitchell International Airport,MKE,42.9445798500000,-87.8973795324673
322,33107041,9.72603e-06,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
43,10368048,4.14736e-06,Memphis International Airport,MEM,35.0462564500000,-89.9768945651318
