Lat,Lon,Count,Name
44.939763,-93.168729,5,Macalester College
34.201308,-118.171394,64,Jet Propulsion Laboratory/Caltech
41.919381,-72.685616,1,Hamilton Sundstrand
41.922528,12.452227,5,INAF - Istituto di Radioastronomia
44.105722,-70.202186,3,Bates College
40.423705,-86.921195,26,Purdue University
38.054020,-78.535427,3,Institute of Astronomy National Central
43.465426,-80.528111,31,Perimeter Institute for Theoretical Phys
36.991386,-122.060872,64,Univ. of California at Santa Cruz
41.705572,-86.235339,16,Univ. of Notre Dame
34.128008,-118.147665,34,TMT Observatory Corporation
34.413963,-119.848947,56,University of California at Santa Barbar
33.792519,-84.323999,2,Emory University
35.202895,-111.664643,33,Lowell Observatory
39.021667,-84.568076,1,Thomas More College
54.584409,-5.934049,22,Queens University Belfast
-33.444520,-70.650928,78,Yale University/Universidad de Chile
53.523219,-113.526319,12,University of Alberta
52.214136,0.093450,69,DEPARTMENT OF ASTRONOMY INSTITUTE OF PH
-33.888584,151.187347,29,University of Sydney
37.427475,-122.169719,23,Stanford University Kavli Institute for
-33.796423,151.145241,58,Australian Astronomical Observatory (AAO
34.184746,-118.576148,2,Los Angeles Pierce College
42.250680,-83.624089,2,Eastern Michigan University
53.380941,-1.487947,9,University of Sheffield
32.429984,-99.750431,1,McMurry University
32.880060,-117.234014,28,University of California San Diego (UCS
39.197444,-96.584725,2,Kansas State University
-37.911473,145.134464,25,Monash University Clayton Victoria Au
18.402789,-66.049805,1,University of Puerto Rico Rio Piedras C
32.709530,-97.362795,2,Texas Christian University
43.562515,1.476059,11,CENTRE D'ETUDE SPATIALE DES RAYONNEMENTS
53.331342,-6.245638,20,Dublin Insititue for Advanced Studies A
19.823819,-155.468904,156,AURA/Gemini Observatory
38.921674,-77.066884,10,U.S. Naval Observatory
37.968948,-122.071291,1,Diablo Valley College
53.403402,-2.971285,32,Liverpool John Moores University
38.709240,-90.308281,4,University of Missouri - St. Louis
38.992857,-76.853895,46,NASA/GSFC
39.677950,-75.750611,4,University of Delaware
41.504341,-81.608384,19,Case Western Reserve University
52.090153,5.122602,8,Astronomical Institute of Utrecht Univer
27.525152,-97.882455,1,Texas A&M University-Kingsville
37.086247,-76.380880,1,NASA   Science Mission Directorate
40.811050,-81.933619,3,The College of Wooster
33.640495,-117.844296,33,University of California Irvine Departm
18.906675,72.805132,6,NCRA-TIFR
43.076592,-89.412487,36,University of Wisconsin-Madison
39.329901,-76.620518,259,The Johns Hopkins University
40.114916,-88.224864,60,NCSA/UofI
44.233881,-76.467505,1,Royal Military College of Canada
47.376313,8.547670,78,ETH Zurich
48.002287,7.851533,4,1. Physikalisches Institut der Universit
33.417969,-111.928501,8,School of Earth and Space Exploration wi
43.945872,-78.896738,7,Various Canadian Universities
42.817017,-73.929805,2,Union College
53.806682,-1.555033,18,The University of Leeds
54.767003,-1.573952,24,UNIVERSITY OF DURHAM DEPARTMENT OF PHYS
19.326148,-99.177861,30,Instituto de Astronomía Universidad Nacional Autónoma de México (UNAM)
28.073540,-82.437359,3,University of Colorado at Boulder Cente
41.842185,-88.075894,1,College of DuPage
52.217917,4.420150,2,Space Research Organization of the Nethe
42.457996,-71.274312,3,AFRL Hanscom Air Force Base
53.003437,-2.272053,16,Keele University
42.484138,-76.484608,1,Comisi
34.182179,-117.323532,2,California State University San Bernardi
42.448809,-76.481152,47,Astronomy & Space Science Department Se
59.850900,17.630009,8,Dept of Astronomy & Space Physics Uppsa
40.016300,-105.281349,47,Southwest Research Institute - Boulder 
46.865905,-96.762332,1,Minnesota State University Moorhead
39.951865,-75.599993,4,West Chester University
50.982760,11.710550,2,Thuringian State Observatory Tautenburg Germany
48.529478,9.043774,10,University of Tuebingen
34.726523,-86.639696,16,University of Alabama in Huntsville - Center for Space Plasma and Aeronomic Research
18.346402,-66.752820,23,NAIC/Arecibo Observatory
46.728812,-117.012608,1,University of Idaho
40.206103,-85.406986,6,Ball State University
64.139620,-21.951890,11,University of Iceland
51.761756,-0.246800,39,University of Hertfordshire
35.184017,-111.740416,9,US Naval Observatory Flagstaff Station
26.883827,-80.114861,4,Max-Planck-Society
51.455643,7.011555,1,E
40.892883,29.374867,2,SABANCI UNIVERSITY ISTANBUL
35.904912,-79.046913,18,University of North Carolina
34.047863,100.619655,3,ASIAA
53.761924,-2.708439,13,University of Central Lancashire UK
30.713198,-95.550357,2,Sam Houston State University
42.029408,-93.647402,9,Department of Physics and Astronomy Iow
43.210018,-77.950733,1,SUNY College at Brockport
-33.313591,26.516313,4,Rhodes University / SKA South Africa
34.671167,-82.838708,5,Clemson University
38.793098,-89.997945,1,Southern Illinois University Edwardsvill
38.982066,-76.483941,3,United States Naval Academy
47.655335,-122.303520,44,University Affiliated Research Center @ 
50.925007,6.932904,23,Universitaet zu Koeln I. Physikalisches
37.724959,-122.462108,16,Astronomical Society of the Pacific
29.643632,-82.354930,40,University of Florida
52.025091,-0.710477,8,The Open University
40.444353,-79.960835,50,UNIVERSITY OF PITTSBURGH
51.892110,-8.493274,1,University College Cork
29.359491,79.458435,2,Aryabhatta Research Institute for Observ
42.278044,-83.738224,65,UNIVERSITY OF MICHIGAN
35.153491,136.967573,1,University of Oxford and Nagoya Universi
18.559163,73.825689,14,Inter-University Center for Astronomy an
20.019528,-155.672025,16,Canada-France-Hawaii Telescope Corporati
41.788608,-87.598713,79,Fermilab and University of Chicago
45.680280,13.774063,6,International School for Advanced Studie
45.729835,4.826911,2,ENS-Lyon
35.675224,139.537814,40,The National Astronomical Observatory of
51.486627,-3.178864,35,Cardiff University
29.452223,-98.610117,4,Southwest Research Institute
50.867090,-0.087914,20,UNIVERSITY OF SUSSEX
39.636140,-79.955936,23,West Virginia University
-36.829476,-73.034183,37,Univ. de Concepcion Chile
40.055224,-75.524009,1,Siemens Medical Solutions
52.069229,4.349349,9,EUROPEAN NETWORK FOR THE EXPLORATION OF 
20.798363,-156.331925,1,Maui Scientific Research Center Univers
-33.942861,18.489277,24,SKA SA Cape Town
38.944674,-77.065634,9,University of the District of Columbia
38.212034,-85.757265,7,Univ. Louisville
42.796092,-77.823703,2,SUNY Geneseo
38.710457,-9.187423,1,Observatorio Astron
53.466850,-2.233884,37,The University of Manchester
40.269142,-74.777439,1,The College of New Jersey
43.816052,-91.231152,1,University of Wisconsin - La Crosse
35.623668,-88.829864,1,Lambuth University
42.056459,-87.675267,38,Northwestern University
38.961295,-77.086473,4,Several Universities and Research Center
40.441905,-3.686768,1,Instituto de Estructura de la Materia. C
33.079888,-83.231805,1,Georgia College & State University
46.519056,6.566758,7,Ecole Polytechnique Federale de Lausanne (EPFL)
-33.957652,18.461199,17,University of Cape Town
34.155989,-118.133663,76,Carnegie Observatories and Princeton Uni
40.742334,-74.179341,5,NJIT
41.838406,-88.261455,30,FERMI NATIONAL ACCELERATOR LABORATORY
37.420191,-122.204551,25,SLAC National Accelerator Laboratory
43.581909,-84.775636,1,Central Michigan University
31.958048,-111.600559,9,WIYN Observatory
30.562997,-90.774206,3,Caltech/LIGO
29.452338,-98.564098,13,St Mary's University
46.781746,-71.274742,3,Universite Laval
-37.822150,145.038955,75,Swinburne University
32.420549,-81.786535,8,Georgia Southern University
43.343471,5.436574,32,LABORATOIRE d'ASTROPHYSIQUE DE MARSEILLE
43.750549,11.254410,5,Arcetri Astrophysical Observatory
-27.495431,153.012030,7,University of Queensland
38.822204,-77.019723,34,Naval Research Lab
53.219263,6.562987,19,Universities of Amsterdam Groningen Le
24.523895,54.434556,6,NYU Abu Dhabi
33.453538,-112.073122,36,Arizonat State University
31.188408,121.433970,25,Shanghai Astronomical Observatory
51.754816,-1.254367,83,University of Oxford
29.717394,-95.401831,9,Rice University
41.463939,-87.043889,8,Valparaiso University Department of Phy
25.021321,121.538257,35,Academia Sinica Institute of Astronomy and Astrophysics
34.432724,-119.863365,11,UCSB / LCOGT
47.538572,8.229908,1,Paul Scherrer Institute Switzerland
43.594376,1.450649,2,Toulouse University
-19.327573,146.758062,3,James Cook University
40.601815,-74.148490,4,College of Staten Island - CUNY
42.838739,-91.797783,1,Upper Iowa University
35.844058,-106.287162,28,Los Alamos National Lab
32.701441,-109.889230,21,Large Binocular Telescope Observatory
51.023394,-3.078752,2,The United Kingdom Hydrographic Office 
49.807501,-97.136626,5,The University of Manitoba
19.701662,-155.089856,27,Joint Astronomy Centre
52.784998,4.674562,3,NETHERLANDS FOUNDATION FOR RESEARCH IN A
51.171836,-0.420791,16,MSSL/University College London
33.214023,-87.539142,10,University of Alabama
38.030651,-84.503970,10,University of Kentucky
35.307093,-80.735164,1,University of North Carolina at Charlotte
41.316324,-72.922343,70,Yale University
43.086102,-77.670514,32,The Rochester Institute of Technology
55.699046,37.359593,2,The Skolkovo Institute of Science and Technology
36.660897,-121.808733,1,Monterey Institute for Research in Astro
52.813358,6.396031,25,ASTRON/Netherlands Foundation for Resear
41.192445,-111.941874,2,Weber State University
50.609049,3.138063,1,LILLE UNIVERSITY PhLAM
-32.006195,115.894418,6,Curtin University
46.105016,-64.782085,1,Universite de Moncton
55.944516,-3.189241,27,University of Edinburgh Scotland UK
39.729021,-89.617654,2,University of Illinois at Springfield
43.719601,10.400330,7,Scuola Normale Superiore di Pisa
40.004277,116.384912,18,National Astronomical Observatories CAS 
25.719168,-80.277125,3,University of Miami
33.910125,-118.381696,3,COM DEV
38.432987,-79.839857,3,NRAO Robert C. Byrd Green Bank Telescope
38.992169,-76.881386,1,SP Systems Inc.
32.985762,-96.750099,3,University of Texas at Dallas
50.583080,5.559064,1,University of Liege
34.736101,-80.788604,1,University of South Carolina Lancaster 
48.149660,11.567860,7,Technical University Munich Excellence 
40.002787,-83.026862,43,The Ohio State University Department of
40.869580,-74.311798,1,New Jersey YMHA-YWHA Camps
-31.981179,115.819910,10,University of Western Australia (Radio A
19.646852,-101.228403,12,Centro de Radioastronomia y Astrofisica
34.364732,-89.538443,1,University of Mississippi
42.452223,-71.231155,2,Institute for Scientific Research Inc. 
48.463407,-123.311694,17,University of Victoria
44.664310,-74.976106,1,Potsdam University
46.290458,6.150582,1,ISDC & Geneva Observatory
41.500581,2.110147,6,Institut de Ciencies de l'Espai (CSIC-IE
35.848610,-86.364881,3,Middle Tennessee State University
45.505616,-73.613759,7,Universite de Montreal
37.561858,126.946829,2,Institute for the Early Universe/Ewha Un
7.383333,-9.083333,1,NAOC
28.602427,-81.200060,9,University of Central Florida
29.191617,-81.050019,6,Embry-Riddle Aeronautical University
57.396182,11.925783,8,Onsala Space Observatory
48.714297,2.211292,3,Ecole Polytechnique F
41.662181,-91.532231,19,University of Iowa Department of Physics and Astronomy
32.264371,-110.946365,1,Planetary Science Institute
41.718050,-87.978591,8,Argonne National Laboratory
-37.796369,144.961174,20,The University of Melbourne
42.391157,-72.526712,27,University of Massachusetts Amherst
43.009597,-81.273734,15,University of Western Ontario
-25.754942,28.275064,1,National Research Foundation
42.294215,-83.711568,1,Dept of Radio and Space Science
33.948005,-83.377322,9,University of Georgia
28.614458,-80.694108,11,National Aeronautics and Space Administration
47.264773,11.342868,2,Institute of Astro- and Particle Physics Innsbruck
36.594792,-121.891303,1,Astronomical Institutes University of B
40.346556,-74.651663,6,Princeton University Department of Astr
12.926978,77.621214,4,Institute of Astrophysics University of
43.230876,5.441424,2,Centre de Physique des particules de Mar
42.374369,-72.514246,2,THE FIVE COLLEGE ASTRONOMY DEPARTMENT
